item,annual_demand,unit_cost,current_stock,safety_stock,holding_cost_rate,ordering_cost
A,1000,10,50,20,0.2,50
B,500,20,30,15,0.2,50
C,200,5,100,40,0.2,50
D,800,15,40,25,0.2,50
E,300,8,60,30,0.2,50
F,1200,12,70,25,0.18,45
G,600,25,40,18,0.22,55
H,150,30,20,10,0.25,60
I,700,21,52,23,0.21,50
J,400,15,47,18,0.18,46
K,850,10,63,27,0.19,48
L,900,19,55,30,0.25,50
M,900,7,80,30,0.15,40
N,400,18,35,20,0.2,50
O,350,15,25,25,0.3,45
P,750,9,55,22,0.19,48
Q,350,22,45,15,0.21,52
R,500,14,60,25,0.17,46
S,250,16,50,20,0.2,50
T,1100,11,65,28,0.18,47
U,450,19,38,16,0.23,53
V,800,6,75,32,0.16,42
W,550,13,48,21,0.19,49
X,650,17,42,19,0.2,51
Y,300,24,33,14,0.22,54
Z,950,8,58,26,0.17,44
