order_id,date,item,quantity,supplier,unit_cost,total_cost,on_time
ORD001,2023-01-15,A,50,Supplier A,10,500,1
ORD002,2023-01-20,B,25,Supplier B,20,500,1
ORD003,2023-02-10,X,60,Supplier C,12,720,1
ORD004,2023-02-25,D,40,Supplier D,15,600,0
ORD005,2023-03-05,M,45,Supplier E,7,315,1
ORD006,2023-03-18,P,35,Supplier F,9,315,1
ORD007,2023-04-02,R,30,Supplier G,14,420,1
ORD008,2023-04-20,T,55,Supplier H,11,605,0
ORD009,2023-05-10,V,40,Supplier I,6,240,1
ORD010,2023-05-25,X,32,Supplier J,17,544,1
ORD011,2023-06-08,Z,48,Supplier K,8,384,1
ORD012,2023-06-22,C,20,Supplier L,5,100,1
ORD013,2023-07-05,Y,28,Supplier M,25,700,0
ORD014,2023-07-19,Z,15,Supplier N,30,450,1
ORD015,2023-08-03,N,22,Supplier O,18,396,1
ORD016,2023-08-17,Q,18,Supplier A,22,396,1
ORD017,2023-09-01,S,25,Supplier B,16,400,1
ORD018,2023-09-15,U,27,Supplier C,19,513,0
ORD019,2023-10-05,W,38,Supplier D,13,494,1
ORD020,2023-10-20,Y,16,Supplier E,24,384,1
ORD021,2023-11-10,I,35,Supplier F,21,735,1
ORD022,2023-11-25,E,20,Supplier G,8,160,1
ORD023,2023-12-08,X,50,Supplier H,12,600,0
ORD024,2023-12-22,Z,12,Supplier I,30,360,1
