date,demand
2021-01-01,95
2021-02-01,105
2021-03-01,115
2021-04-01,125
2021-05-01,135
2021-06-01,120
2021-07-01,130
2021-08-01,145
2021-09-01,140
2021-10-01,155
2021-11-01,150
2021-12-01,165
2022-01-01,100
2022-02-01,120
2022-03-01,110
2022-04-01,130
2022-05-01,140
2022-06-01,125
2022-07-01,135
2022-08-01,150
2022-09-01,145
2022-10-01,160
2022-11-01,155
2022-12-01,170
2023-01-01,105
2023-02-01,125
2023-03-01,115
2023-04-01,135
2023-05-01,145
2023-06-01,130
2023-07-01,140
2023-08-01,155
2023-09-01,150
2023-10-01,165
2023-11-01,160
2023-12-01,175
2024-01-01,110
2024-02-01,130
2024-03-01,120
2024-04-01,140
2024-05-01,150
2024-06-01,135
2024-07-01,145
2024-08-01,160
2024-09-01,155
2024-10-01,170
2024-11-01,165
2024-12-01,180
